title,institution,level,language,n_enrolled,price,price_certificate
Advanced Linear Algebra: Foundations to Frontiers,The University of Texas at Austin,Advanced,English,0,FREE-Add a Verified Certificate for $49 USD,49.0
Entrepreneurial Opportunities,University of Adelaide,Introductory,English,"27,182",FREE-Add a Verified Certificate for $50 USD,50.0
Agua en América Latina: Abundancia en medio de la escasez mundial,Inter-American Development Bank,Introductory,Español,"38,581",FREE-Add a Verified Certificate for $25 USD,25.0
Understanding Political Concepts,Università degli Studi di Napoli Federico II,Introductory,English,"7,421",FREE-Add a Verified Certificate for $59 USD,59.0
How to Code: Complex Data,University of British Columbia,Introductory,English,"34,190",FREE-Add a Verified Certificate for $125 USD,125.0
Hypersonics – from Shock Waves to Scramjets,The University of Queensland,Advanced,English,"19,043",FREE-Add a Verified Certificate for $99 USD,99.0
Micro and Nanofabrication (MEMS),École polytechnique fédérale de Lausanne,Advanced,English,"16,094",FREE-Add a Verified Certificate for $199 USD,199.0
Scientific Methods and Research,Ural Federal University,Intermediate,English,"7,501",FREE-Add a Verified Certificate for $49 USD,49.0
Customer Centric Marketing for Entrepreneurs,Babson College,Intermediate,English,"14,003",FREE-Add a Verified Certificate for $149 USD,149.0
Dog Behavior: Problems and Solutions,Arizona State University,Intermediate,English,"16,467",FREE-Add a Verified Certificate for $169 USD,169.0
The Business of Mining,Curtin University,Introductory,English,"20,406",FREE-Add a Verified Certificate for $139 USD,139.0
"Social Work Practice in Community Organization, Management and Policy/Evaluation",The University of Michigan,Advanced,English,"9,522",FREE-Add a Verified Certificate for $199 USD,199.0
