id,title,level,n_enrolled,n_lectures,date,price
627706,Awaken the Accountant in You | Master the Accounting Basics,Basic,1135,16,2015-11-24,35
255280,WE WILL PAY YOU TO TRADE WITH US,All Levels,2101,11,2014-08-18,20
628944,Situational Trading: Proven Option Strategy for any Scenario,All Levels,1048,16,2015-11-06,200
537886,Portfolio Management for CA / CS / CFA exams,All Levels,1740,8,2015-07-21,20
517938,Algorithmic Trading in MATLAB: WFAToolbox App GUI (Finance),All Levels,1749,21,2015-06-23,20
779678,Finding an Unlimited Amount of Investors,All Levels,1187,6,2016-03-03,80
494330,Bookkeeping Made Easy,Basic,1263,18,2015-07-14,70
153926,BITCOIN VISUALLY. Part I.,Basic,115,31,2014-03-16,50
806122,Learn and Master the Basics of Finance,Basic,43,39,2016-09-25,20
725658,FOREX : LearnTo Trade the Improved ( Advanced ) Patterns,All Levels,55,27,2016-01-13,75
1032234,Mastering the Market : (Technical Analysis + Candlestick),All Levels,18,97,2016-12-16,90
996542,Mastering Countertrend Trading : High Profit Trading Pattern,All Levels,14,11,2016-10-29,40
756520,Exam 1 Review - Managerial Accounting (U of H),Basic,47,22,2016-02-11,30
768028,* An Integrated Approach to the Fundamentals of Accounting,All Levels,134,123,2016-03-15,200
73030,Get to grips with the CFA calculator,All Levels,153,14,2013-08-05,20
476880,Financial Model Fundamentals-Learn the Essential Skills,All Levels,47,27,2015-06-01,75
773060,Forex: Economic News Trading,All Levels,42,11,2016-02-29,25
552058,Analyze Real Estate Investments | Financial Modeling,All Levels,120,21,2015-07-21,20
509512,Forex For Beginners - A Guide To Currency Trading,Basic,68,23,2015-05-25,20
497236,Raise Your Credit Score to 800 Or More....,All Levels,844,40,2015-07-12,50
471556,Financial Management Budgeting Techniques,All Levels,2045,10,2015-04-12,20
