id,title,institution,rating
contemporary-art,What Is Contemporary Art?,The Museum of Modern Art,5.0
producing-music,The Art of Music Production,Berklee College of Music,5.0
biohacking-your-brains-health,Biohacking Your Brain's Health,Emory University,5.0
bayesian-statistics,Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",5.0
reporting-extra-financier-strategie-rse,Reporting extra-financier et stratégie RSE,ESSEC Business School,5.0
quality-healthcare,Leading Healthcare Quality and Safety,The George Washington University,5.0
international-relations-theory,Understanding International Relations Theory,National Research University Higher School of Economics,5.0
introduction-to-data-analytics,Introduction to Data Analytics,IBM,5.0
excel-para-negocios,Fundamentos de Excel para Negocios,Universidad Austral,5.0
gcp-infrastructure-scaling-automation,Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,5.0
cultural-competence-aboriginal-sydney,Cultural Competence - Aboriginal Sydney,The University of Sydney,5.0
finanzas-empresariales,Fundamentos de Finanzas Empresariales,Universidad de los Andes,5.0
gte-sustainable-cities,Greening the Economy: Sustainable Cities,Lund University,5.0
engineering-mechanics-statics,Introduction to Engineering Mechanics,Georgia Institute of Technology,5.0
design-strategy,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,5.0
bioinformatics,Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,5.0
medical-research,Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,5.0
health-behavior-change,Health Behavior Change: From Evidence to Action,Yale University,5.0
cs-fundamentals-2,Ordered Data Structures,University of Illinois at Urbana-Champaign,5.0
mindshift,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,5.0
programming-fundamentals,Programming Fundamentals,Duke University,5.0
understanding-financial-markets,Understanding Financial Markets,University of Geneva,5.0
painting,In the Studio: Postwar Abstract Painting,The Museum of Modern Art,5.0
drug-commercialization,Drug Commercialization,University of California San Diego,5.0
introduction-to-software-product-management,Introduction to Software Product Management,University of Alberta,5.0
norms,"Social Norms, Social Change I",Unicef,5.0
excel-intermediate-2,Excel Skills for Business: Intermediate II,Macquarie University,5.0
aboriginal-education,Aboriginal Worldviews and Education,University of Toronto,5.0
information-systems-audit,"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology,5.0
six-sigma-principles,Six Sigma Principles,University System of Georgia,5.0
writing-for-business,Business Writing,University of Colorado Boulder,5.0
autodesk-autocad-design-drafting,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,5.0
typography,Introduction to Typography,California Institute of the Arts,5.0
customer-segmentation-prospecting,Customer Segmentation and Prospecting,Northwestern University,5.0
gestionar-personas,Claves para Gestionar Personas,IESE Business School,5.0
journalism,English for Journalism,University of Pennsylvania,5.0
how-things-work,How Things Work: An Introduction to Physics,University of Virginia,5.0
business-english-intro,Business English: Networking,University of Washington,5.0
summary-statistics,Summary Statistics in Public Health,Johns Hopkins University,5.0
globalenergyandclimatepolicy,Global Energy and Climate Policy,University of London,5.0
legaltech,El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,5.0
probability-statistics,Probability and Statistics: To p or not to p?,University of London,5.0
microbiome,Gut Check: Exploring Your Microbiome,University of Colorado Boulder,5.0
erasmus-econometrics,Econometrics: Methods and Applications,Erasmus University Rotterdam,5.0
golang-webservices-1,Разработка веб-сервисов на Go - основы языка,Moscow Institute of Physics and Technology,5.0
analytics-excel,Mastering Data Analysis in Excel,Duke University,4.0
basic-statistics,Basic Statistics,University of Amsterdam,5.0
python-data-visualization,"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,5.0
uva-darden-design-thinking-social-sector,Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,5.0
introduction-portfolio-construction-python,Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,5.0
data-analytics-for-lean-six-sigma,Data Analytics for Lean Six Sigma,University of Amsterdam,5.0
refugees-21st-century,Refugees in the 21st Century,University of London,5.0
containerized-apps-on-aws,Building Containerized Applications on AWS,Amazon Web Services,5.0
business-transformation-google-cloud,Business Transformation with Google Cloud,Google Cloud,5.0
version-control-with-git,Version Control with Git,Atlassian,5.0
transmedia-storytelling,"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),5.0
excel-aplicado-negocios-avanzado,Excel aplicado a los negocios (Nivel Avanzado),Universidad Austral,5.0
public-speaking,Introduction to Public Speaking,University of Washington,5.0
